name,slug,first_case_date,image,source,identity_evidence
Camilla Whitcomb,camilla-whitcomb,1917-11-14,camilla-whitcomb-chrono2026b.png,https://documents.alexanderstreet.com/d/1010016652,The original printed caption lists the women left to right. Subject is second from left. Berry Pottier appears as Betty Pottier in this caption; Jailed for Freedom and the Historical Journal of Massachusetts describe Berry in the same February 1919 Boston imprisonment.
Robert Goldstein,robert-goldstein,1918-05-09,robert-goldstein-chrono2026b.png,https://www.bostonglobe.com/2025/08/06/magazine/goldstein-espionage-film-case/,"Original newspaper caption identifies Robert Goldstein at right as the Spirit of 76 producer leaving county jail, matching the Los Angeles filmmaker imprisoned at McNeil Island. Cropped to the named man at right."
Mikal Kudreyko,mikal-kudreyko,1918-07-01,mikal-kudreyko-chrono2026b.png,https://kenyonzimmer.com/red-scare-deportees/kubinskis-to-k_____/,Zimmer identifies Mikal Kudreyko under his aliases Peter/Michael Kravchuk. Belarus-born URW secretary arrested at a Detroit picnic in July 1918 and deported on the Buford; all match this record.
Frank Shaffer,frank-shaffer,1918-07-10,frank-shaffer-chrono2026b.jpg,https://www.historylink.org/File/21334,"HistoryLink identifies Frank Shaffer, Washington Bible Student convicted under the Espionage Act for The Finished Mystery, and dates this federal prisoner photo to 1920. The same prosecution and sentence match the database entry."
J. Emma Martin,j-emma-martin,1918-07-31,j-emma-martin-chrono2026b.jpg,https://www.jw.org/en/library/magazines/watchtower-study-october-2020/1920-One-Hundred-Years-Ago/,"The source explicitly identifies the police photograph as Emma Martin and describes the San Bernardino Bible Student prosecution with Hamm, Sonnenburg and Stevens, matching this entry."
Rebecca Winsor Evans,rebecca-winsor-evans,1918-08-06,rebecca-winsor-evans-chrono2026b.png,https://documents.alexanderstreet.com/d/1008297929,Source caption identifies Ellen on the left with her sister Rebecca; original plaque names Miss Ellen Winsor and Mrs Rebecca Winsor Evans. Crop isolates Rebecca on the right.
Katharine Fisher,katharine-fisher,1918-08-15,katharine-fisher-chrono2026b.jpg,https://suffragistmemorial.org/suffragist-month-2013/,"The page names Katharine Rolston Fisher and describes her National Woman’s Party picketing and Occoquan imprisonment, matching this suffragist entry."
Hyman Lachowsky,hyman-lachowsky,1918-08-23,hyman-lachowsky-chrono2026b.png,https://kenyonzimmer.com/red-scare-deportees/lachowsky-to-lazarevich/,"The printed caption names Hyman Lachowsky. Zimmer connects him to the August 1918 New York leaflet arrest and Abrams free-speech prosecution, matching this entry."
Jacob Schwartz,jacob-schwartz,1918-08-23,jacob-schwartz-chrono2026b.png,https://www.historyworkshop.org.uk/activism-solidarity/radical-object-anarchist-memorial-card/,"The original memorial card names Jacob Schwartz and dates his arrest August 23, 1918 and death October 14, 1918. This matches the Frayhayt leafleting defendant. Rectangular crop isolates the original portrait."
Grover H. Perry,grover-h-perry,1918-09-07,grover-h-perry-chrono2026b.png,https://www.marxists.org/history/usa/pubs/labordefender/1926/v01n08-aug-1926-LD.pdf,Original caption identifies Frank Little at left and Grover Perry at right. Cropped to the standing man at right. This is the IWW organizer and Leavenworth prisoner Grover H. Perry described by the accompanying IWW historical article and the database.
Janet Johnstone Roy,janet-johnstone-roy,1918-10-01,janet-johnstone-roy-chrono2026b.png,https://kenyonzimmer.com/red-scare-deportees/roberts-to-roy/,"The original caption names Miss Janet Roy; Zimmer identifies her as Janet Johnstone Roy/MacKay, the Scottish-born IWW member arrested with her sister in Seattle in October 1918, matching this entry."
John Schrag,john-schrag,1918-11-11,john-schrag-chrono2026b.jpg,https://www.kancoll.org/khq/1977/77_3_juhnke.htm,Original scholarly article prints a caption naming John Schrag immediately under this photograph and describes the specific 1918 Burrton/Harvey County imprisonment.
Louis Werner,louis-werner,1918-12-30,louis-werner-chrono2026b.png,https://commons.wikimedia.org/wiki/File:Enemy_Activities_-_Arrests_of_Alien_Enemies_-_Arrest_of_Alien_Enemies_in_U.S.A._-_Editor_of_the_Philadelphia_German_paper_gets_five_years_-_NARA_-_31477750.jpg,"The original archive caption identifies Louis Werner, editor of the Philadelphia Tageblatt, sentenced to five years in Atlanta Penitentiary under the Espionage Act, matching the prisoner entry. Rectangular crop removes the catalog card around the photograph."
Phoebe C. Munnecke,phoebe-c-munnecke,1919-01-04,phoebe-c-munnecke-chrono2026b.jpg,https://documents.alexanderstreet.com/d/1009054740,"Original photograph labels Mrs. Phoebe Munnecke. Source biography matches Detroit suffragist arrested in the January 4, 1919 White House watchfire protest. Published archival crop retained unmodified."
Ellen Winsor,ellen-winsor,1919-01-13,ellen-winsor-chrono2026b.jpg,https://documents.alexanderstreet.com/d/1008297929,Portrait is printed with the name Miss Ellen Winsor; scholarly biography links the photograph to her 1922 arrest and identifies the NWP watchfire protester.
Palys L. Chevrier,palys-l-chevrier,1919-01-13,palys-l-chevrier-chrono2026b.jpg,https://documents.alexanderstreet.com/d/1009755087,Biographical title explicitly equates Lorena Aglae Dollee Chevrier with Palys L. Chevrier; portrait caption names Dollee Chevrier and dates the photograph 1907.
Rhoda Kellogg,rhoda-kellogg,1919-01-27,rhoda-kellogg-chrono2026b.jpg,https://phoebehearstpreschool.org/history/rhoda-kellogg/,Institutional history names Rhoda Kellogg and labels the photograph. Alexander Street biography 1008297974 reproduces the same photograph and identifies the suffragist jailed in January 1919.
Rose Fishstein,rose-fishstein,1919-02-01,rose-fishstein-chrono2026b.jpg,https://documents.alexanderstreet.com/d/1008297976,"Biography and portrait identify unmarried union organizer and factory inspector Rose Fishstein, sister-in-law of the separate suffragist Mrs Rose Gratz Fishstein. Matches the February 1919 watchfire case."
Walker C. Smith,walker-c-smith,1919-02-01,walker-c-smith-chrono2026b.jpg,https://revolutionsnewsstand.com/2025/05/12/respectable-socialists-too-respectable-for-the-i-w-w-by-walker-c-smith-from-industrial-worker-vol-3-no-33-november-9-1911/,Publisher labels portrait asset WalkerSmithIWW and pairs it with the named IWW author; matches the database IWW editor Walker C. Smith.
Estella Eylward,estella-eylward,1919-02-09,estella-eylward-chrono2026b.png,https://documents.alexanderstreet.com/d/1008297962,Original newspaper caption identifies Mrs Estella Eylward holding the 33-foot suffrage petition she was presenting to Senator Gay.
Martha Reed Shoemaker,martha-reed-shoemaker,1919-02-10,martha-reed-shoemaker-chrono2026b.png,https://documents.alexanderstreet.com/d/1009554984,Biography identifies suffragist Martha Reed Shoemaker as a member of Vassar class of 1910. The supplied senior-year entry labels her Martha Clawson Reed.
