id,slug,name,first_case_date,era,result,source
edb2e40a-e30b-43cc-b229-1c487c573ef2,james-franklin,James Franklin,1722-06-01,1700s,verified image prepared,https://www.gutenberg.org/cache/epub/38469/pg38469-images.html
8af1bf8f-7838-4adb-b144-2a9b1a3221d7,john-peter-zenger,John Peter Zenger,1734-11-17,1700s,verified image prepared,https://www.loc.gov/item/2006687175/
b8710448-29ae-46a2-85ab-95f9cf8acddd,moses-sleeper,Moses Sleeper,1777-01-01,1700s,No verified usable image found in this search; not a claim none exists,
9ab508c2-1f2b-4038-83e1-a967465d510d,charles-eddy,Charles Eddy,1777-09-01,1700s,No verified usable image found in this search; not a claim none exists,
d48129fb-43c8-4527-9c1c-1dc6bd3b7a50,charles-jervis,Charles Jervis,1777-09-01,1700s,No verified usable image found in this search; not a claim none exists,
c797950b-7f9d-4ec2-8e15-821648d59cf4,edward-pennington,Edward Pennington,1777-09-01,1700s,verified image prepared,https://www.christies.com/lot/lot-4645715
af7e45a7-c53d-4337-add2-79c2f6a66558,elijah-brown,Elijah Brown,1777-09-01,1700s,No verified usable image found in this search; not a claim none exists,
24eaca82-6647-4f90-a84f-b8e72fbd3a1d,henry-drinker,Henry Drinker,1777-09-01,1700s,verified image prepared,https://www.quakerhouses.com/drinkers-court
928d511e-5585-40b4-854d-d86f219d1ebc,israel-pemberton,Israel Pemberton,1777-09-01,1700s,No verified usable image found in this search; not a claim none exists,
4d76bbc5-3691-48fd-8826-3fb4f97db918,jacobus-quigg,Jacobus Quigg,1777-09-01,1700s,No verified usable image found in this search; not a claim none exists,
8cab8627-a50e-47aa-8ba4-bd8defd2a81b,john-hunt,John Hunt,1777-09-01,1700s,No verified usable image found in this search; not a claim none exists,
261a3158-1c35-4afc-878d-5a9bc61ad13d,john-pemberton,John Pemberton,1777-09-01,1700s,verified image prepared,https://www.quakerhouses.com/drinkers-court
03828423-2ca3-4f81-9399-883039842736,miers-fisher,Miers Fisher,1777-09-01,1700s,verified image prepared,https://librarycompany.org/2024/04/16/shareholder-spotlight-miers-fisher/
68b2a44d-ae20-4019-a42f-68dd8b60fdf4,owen-jones-jr,Owen Jones Jr.,1777-09-01,1700s,No verified usable image found in this search; not a claim none exists,
216767a3-f382-4f87-8bcd-d4b1c7af8c42,phineas-bond,Phineas Bond,1777-09-01,1700s,No verified usable image found in this search; not a claim none exists,
b93db04e-fa51-40cf-b2ee-b4756ab278eb,samuel-pleasants,Samuel Pleasants,1777-09-01,1700s,verified image prepared,https://www.quakerhouses.com/drinkers-court
5a2e639a-124e-4989-9a65-f34c0a8f6799,thomas-affleck,Thomas Affleck,1777-09-01,1700s,No verified usable image found in this search; not a claim none exists,
912a05eb-d3e3-45c7-9efd-bb1f568af74d,thomas-coombe,Thomas Coombe,1777-09-01,1700s,No verified usable image found in this search; not a claim none exists,
6ed7e57c-72de-4c4f-b027-a795a03b041d,thomas-fisher,Thomas Fisher,1777-09-01,1700s,No verified usable image found in this search; not a claim none exists,
d63f8791-6369-486b-b9cc-b4b174c808e2,thomas-gilpin,Thomas Gilpin,1777-09-01,1700s,No verified usable image found in this search; not a claim none exists,
762074f2-5e94-4224-89bb-fb44fa6b2936,thomas-patterson,Thomas Patterson,1777-09-01,1700s,No verified usable image found in this search; not a claim none exists,
d0aa5cfe-efa7-48fc-9694-22ac2dc1bb5d,thomas-pike,Thomas Pike,1777-09-01,1700s,No verified usable image found in this search; not a claim none exists,
7a2eb1c5-5a68-4346-9101-46f4451a902d,thomas-wharton,Thomas Wharton,1777-09-01,1700s,No verified usable image found in this search; not a claim none exists,
4068fd34-27b5-47ce-a602-fcff96a19986,william-drewet-smith,William Drewet Smith,1777-09-01,1700s,No verified usable image found in this search; not a claim none exists,
92a369ff-a800-4b73-819a-add13e703077,william-rodan,William Rodan,1777-09-01,1700s,No verified usable image found in this search; not a claim none exists,
d7b9c39e-c0d5-4a8e-ae4a-0d3a265ebc52,william-smith,William Smith,1777-09-01,1700s,No verified usable image found in this search; not a claim none exists,
cd4e4a75-1c5c-4e36-bcea-2fedec1dd581,red-hawk,Red Hawk,1777-10-01,1700s,No verified usable image found in this search; not a claim none exists,
8f1399fc-8905-40e8-8efb-8e83cf38feea,allanawissica,Allanawissica,1777-11-09,1700s,No verified usable image found in this search; not a claim none exists,
6b34d87e-7832-4686-a29e-0d5132796531,samuel-rowland-fisher,Samuel Rowland Fisher,1779-01-01,1700s,No verified usable image found in this search; not a claim none exists,
265d3667-f317-4adb-b58d-44ef3a94fdc2,eli-parsons,Eli Parsons,1787-01-26,1700s,No verified usable image found in this search; not a claim none exists,
f1e3f45f-ec7a-4e5a-ab15-c97bd8f59d3d,luke-day,Luke Day,1787-01-26,1700s,No verified usable image found in this search; not a claim none exists,
3e008225-8970-4cf4-a355-f951034a2e8c,alpheus-colton,Alpheus Colton,1787-02-01,1700s,No verified usable image found in this search; not a claim none exists,
50f0f19f-0e34-4b36-85e5-00004106b8ab,daniel-ludington,Daniel Ludington,1787-02-01,1700s,No verified usable image found in this search; not a claim none exists,
7a650251-5377-4370-9833-696cd854444a,henry-mcculloch,Henry McCulloch,1787-02-01,1700s,No verified usable image found in this search; not a claim none exists,
9beecb67-548c-4354-8a69-08be131290f0,james-white,James White,1787-02-01,1700s,No verified usable image found in this search; not a claim none exists,
f43a20d7-79e9-4d2c-8499-698860c024e0,jason-parmenter,Jason Parmenter,1787-02-01,1700s,No verified usable image found in this search; not a claim none exists,
244e40b7-7caf-48a1-a0a5-8005f410580c,john-wheeler,John Wheeler,1787-02-01,1700s,No verified usable image found in this search; not a claim none exists,
41752a5b-a1e7-4fad-9861-3b9c2ff057fb,oliver-miller,Oliver Miller,1794-07-16,1700s,No verified usable image found in this search; not a claim none exists,
7341f0a8-66ba-4faf-adef-fd225e1a1cd6,james-mcfarlane,James McFarlane,1794-07-17,1700s,No verified usable image found in this search; not a claim none exists,
8b9a36c2-4fd3-4be1-a827-d058341c8b23,george-lucas,George Lucas,1794-10-20,1700s,No verified usable image found in this search; not a claim none exists,
527c9ccb-3c7d-4ad2-b162-c4f13c074b00,george-wisegarver,George Wisegarver,1794-10-20,1700s,No verified usable image found in this search; not a claim none exists,
4e0034ee-f56c-42bb-b728-2c05f92271ac,herman-husband,Herman Husband,1794-10-20,1700s,No verified usable image found in this search; not a claim none exists,
2c5a2277-4478-4917-9c58-5ccfc5461c43,robert-philson,Robert Philson,1794-10-20,1700s,No verified usable image found in this search; not a claim none exists,
5b61c6f3-4b57-4eed-a9d0-a4c94a7971f6,john-hamilton,John Hamilton,1794-11-11,1700s,No verified usable image found in this search; not a claim none exists,
a9a80342-8ddd-431c-ab60-49ef798c3fcc,philip-wigle,Philip Wigle,1794-11-13,1700s,No verified usable image found in this search; not a claim none exists,
5dbde9a0-3792-48b0-b7cc-06a455cb0238,david-lock,David Lock,1794-11-15,1700s,No verified usable image found in this search; not a claim none exists,
bb7c5910-e8f0-4969-bbc8-b2caa71fcaf6,james-kerr,James Kerr,1794-11-15,1700s,No verified usable image found in this search; not a claim none exists,
a16a5e7d-ab13-4f61-a4d5-b7161ad93ca9,james-robinson,James Robinson,1794-11-15,1700s,No verified usable image found in this search; not a claim none exists,
