id,slug,name,birthdate_to_fill,death_date_to_fill,identity_evidence,sources
f4508548-4fc0-4a39-ba01-fa085a6e8471,lynne-stewart,Lynne Stewart,,2017-03-07,Defense attorney convicted in the Omar Abdel-Rahman representation case.,https://iacenter.org/2017/03/09/stewart/ | https://en.wikipedia.org/w/index.php?title=Lynne_Stewart&oldid=1371572877
79179486-f468-46af-8d50-af0b60929af4,martin-sostre,Martin Sostre,,2015-08-12,Buffalo bookstore owner and prisoners-rights organizer.,https://en.wikipedia.org/w/index.php?title=Martin_Sostre&oldid=1368565497
537d9237-d2cb-45b0-b7ad-5f1b573548f9,julian-heicklen,Julian Heicklen,,2022-03-11,Penn State chemist and jury-nullification activist.,https://en.wikipedia.org/w/index.php?title=Julian_Heicklen&oldid=1358040499
2a80697b-4107-4dce-97af-6c04810f57b2,sanyika-shakur,Sanyika Shakur,1963-11-13,2021-06-06,"Kody Scott, the Los Angeles author also known as Monster.",https://en.wikipedia.org/w/index.php?title=Sanyika_Shakur&oldid=1372028051
88048204-60d5-42a3-b246-532da9306264,philip-agee,Philip Agee,,2008-01-07,Former CIA officer and author of Inside the Company.,https://en.wikipedia.org/w/index.php?title=Philip_Agee&oldid=1372825924
bdeced46-9c35-4acb-b2fb-f2ed11aa0ec5,edwin-p-wilson,Edwin P. Wilson,,2012-09-10,Former CIA officer prosecuted over arms sales to Libya.,https://en.wikipedia.org/w/index.php?title=Edwin_P._Wilson&oldid=1362296603
fc8a0ea7-339f-4a41-bfad-d8dc23ad5179,sal-castro,Sal Castro,,2013-04-15,Educator associated with the 1968 East Los Angeles school walkouts.,https://en.wikipedia.org/w/index.php?title=Sal_Castro&oldid=1354457393
171eae59-21a8-4e57-8bd4-577b4d941b21,ron-porambo,Ron Porambo,,2006-10-22,Journalist and author of No Cause for Indictment.,https://en.wikipedia.org/w/index.php?title=Ron_Porambo&oldid=1372567229
f0c44646-5afc-4182-a1f6-8ffb2d0679b9,daniel-berrigan,Daniel Berrigan,,2016-04-30,Jesuit priest and Catonsville Nine antiwar protester.,https://en.wikipedia.org/w/index.php?title=Daniel_Berrigan&oldid=1371904037
726846c1-87da-4473-a75e-7c4b8dfafb6d,philip-berrigan,Philip Berrigan,,2002-12-06,Josephite priest and Baltimore Four antiwar protester.,https://en.wikipedia.org/w/index.php?title=Philip_Berrigan&oldid=1372768310
61c22720-fb91-429c-bc4b-9c30b18a9360,bill-epton,Bill Epton,,2002-01-23,Harlem Progressive Labor Party organizer tried for criminal anarchy.,https://en.wikipedia.org/w/index.php?title=Bill_Epton&oldid=1321550610
a1f5c138-c56c-4630-ad5e-24cc04fff242,robert-f-williams,Robert F. Williams,,1996-10-15,"Monroe, North Carolina NAACP organizer and advocate of armed self-defense.",https://en.wikipedia.org/w/index.php?title=Robert_F._Williams&oldid=1366573950
c0db199c-a558-4b25-91d8-e5e1a45d4158,william-worthy,William Worthy,,2014-05-04,Journalist prosecuted over travel restrictions.,https://en.wikipedia.org/w/index.php?title=William_Worthy&oldid=1368408076
578c7a2b-03eb-4490-aef5-a193e78aead8,robert-klonsky,Robert Klonsky,,2002-09-07,Communist organizer and Abraham Lincoln Brigade veteran.,https://en.wikipedia.org/w/index.php?title=Robert_Klonsky&oldid=1373561565
3f9ca9fc-5861-45e7-b145-6d2231b8ac22,igal-roodenko,Igal Roodenko,,1991-04-28,Pacifist and Journey of Reconciliation participant.,https://en.wikipedia.org/w/index.php?title=Igal_Roodenko&oldid=1372586011
fcd1ebef-793f-4741-a6c4-c105f0d70b48,robert-lowell,Robert Lowell,,1977-09-12,Poet imprisoned for refusing World War II military service.,https://en.wikipedia.org/w/index.php?title=Robert_Lowell&oldid=1371549111
2559cb52-6e6b-44da-912f-208a23991ae3,ezra-heywood,Ezra Heywood,1829-09-29,1893-05-22,"Anarchist, abolitionist and editor of The Word.",https://en.wikipedia.org/w/index.php?title=Ezra_Heywood&oldid=1371980422
416ac94c-3b70-43f9-abce-bc10586a9add,august-spies,August Spies,1855-12-10,,Chicago Arbeiter-Zeitung editor and Haymarket defendant.,https://en.wikipedia.org/w/index.php?title=August_Spies&oldid=1369734304
0e2d9106-babb-4d7b-af37-ac8c31f0700a,albert-parsons,Albert Parsons,1848-06-20,,Chicago labor organizer and Haymarket defendant.,https://en.wikipedia.org/w/index.php?title=Albert_Parsons&oldid=1370228995
f10fe80e-1829-41b7-903a-aa51c750555d,george-engel,George Engel,1836-04-15,,Chicago anarchist and Haymarket defendant.,https://en.wikipedia.org/w/index.php?title=George_Engel&oldid=1369734462
13fe3744-723d-45c0-8469-0ecc95dad07b,samuel-fielden,Samuel Fielden,1847-02-25,1922-02-07,English-born labor organizer and Haymarket defendant.,https://en.wikipedia.org/w/index.php?title=Samuel_Fielden&oldid=1369735335
d33f0e82-a2a6-452c-9272-bbf73a449501,michael-schwab,Michael Schwab,1853-08-09,1898-06-29,German-American labor organizer and Haymarket defendant.,https://en.wikipedia.org/w/index.php?title=Michael_Schwab&oldid=1369735288
9acd0d76-6d1c-40de-b4ba-d58ff481fcaf,oscar-neebe,Oscar Neebe,1850-07-12,1916-04-22,"Yeast salesman, labor organizer and Haymarket defendant.",https://en.wikipedia.org/w/index.php?title=Oscar_Neebe&oldid=1369786104
839c38c4-7221-4fa2-b9cf-25300dea269b,dwight-armstrong,Dwight Armstrong,1951-08-29,,Antiwar activist involved in the Sterling Hall bombing.,https://en.wikipedia.org/w/index.php?title=Dwight_Armstrong&oldid=1363119612
d6d093ba-1d62-490a-9f16-237650b8bd23,theodore-kaczynski,Theodore Kaczynski,1942-05-22,,The mathematician and Unabomber defendant Theodore John Kaczynski.,https://en.wikipedia.org/w/index.php?title=Ted_Kaczynski&oldid=1372800985
ef9f88c6-998a-4a86-9634-a00974545882,franz-von-rintelen,Franz von Rintelen,1878-08-19,,German naval intelligence officer operating in the United States during World War I.,https://en.wikipedia.org/w/index.php?title=Franz_von_Rintelen&oldid=1353495279
ba19f4cb-2d63-46ac-829f-12179b5fbb45,ludwig-e-katterfeld,Ludwig E. Katterfeld,1881-07-15,1974-12-11,Communist Labor Party founder and criminal-syndicalism defendant.,https://en.wikipedia.org/w/index.php?title=L._E._Katterfeld&oldid=1364856043
fb4eb745-5244-4700-b82e-30eba829669c,israel-amter,Israel Amter,1881-03-26,1954-11-24,Communist organizer associated with New York unemployed-worker demonstrations.,https://en.wikipedia.org/w/index.php?title=Israel_Amter&oldid=1372515364
ab11fb57-83e8-4dc2-be0a-b8a46e940e67,al-richmond,Al Richmond,1913-11-17,1987-11-09,People's World editor and California Smith Act defendant.,https://en.wikipedia.org/w/index.php?title=Al_Richmond&oldid=1371330062
4799f489-cd87-445e-af2e-16a8e5b7f1f9,rosaura-revueltas,Rosaura Revueltas,,1996-04-30,Mexican actress who starred in Salt of the Earth.,https://en.wikipedia.org/w/index.php?title=Rosaura_Revueltas&oldid=1371826110
31217c59-c7e2-4d71-9af2-aa5cafa9792f,emanuel-fried,Emanuel Fried,1913-03-01,2011-02-25,"Buffalo playwright, labor organizer and HUAC witness.",https://en.wikipedia.org/w/index.php?title=Emanuel_Fried&oldid=1370593666
bf128a1a-ac8d-4490-be10-88272c57058b,irving-peress,Irving Peress,1917-07-31,2014-11-13,Army dentist central to the Army-McCarthy controversy.,https://en.wikipedia.org/w/index.php?title=Irving_Peress&oldid=1353409199
81105744-3183-41bd-b22a-8d78b35ccc8b,james-e-jackson,James E. Jackson,1914-11-29,2007-09-01,Black Communist organizer and Smith Act defendant James Edward Jackson Jr.,https://en.wikipedia.org/w/index.php?title=James_E._Jackson&oldid=1372403356
37a9fef5-70a6-42b5-8d6d-4f810e0e42c7,joseph-starobin,Joseph Starobin,1913-12-19,1976-11-06,Journalist and former Daily Worker foreign editor.,https://en.wikipedia.org/w/index.php?title=Joseph_Starobin&oldid=1344948616
6d3b81f3-091e-48ce-8e29-ef0c0ba15d50,wendell-furry,Wendell Furry,1907-02-18,1984-12-17,Harvard physicist cited for contempt during the McCarthy hearings.,https://en.wikipedia.org/w/index.php?title=Wendell_H._Furry&oldid=1372341849
6884e250-d50f-4bd7-873c-b95c52264e5c,leon-j-kamin,Leon J. Kamin,1927-12-29,2017-12-22,Psychologist and McCarthy-era contempt defendant.,https://en.wikipedia.org/w/index.php?title=Leon_Kamin&oldid=1370545227
dfd86e21-4019-464e-8fbc-c9c457d9cba9,arthur-miller,Arthur Miller,1915-10-17,2005-02-10,Playwright cited for refusing to name associates before HUAC.,https://en.wikipedia.org/w/index.php?title=Arthur_Miller&oldid=1372668924
440e7e7a-523b-4238-b519-7c725856e6a9,pete-seeger,Pete Seeger,1919-05-03,2014-01-27,Folk singer cited for contempt of Congress.,https://en.wikipedia.org/w/index.php?title=Pete_Seeger&oldid=1371565715
5e26b92c-038f-4851-ae40-070c558472e0,george-tyne,George Tyne,1917-02-06,2008-03-07,Blacklisted actor born Martin Yarus.,https://en.wikipedia.org/w/index.php?title=George_Tyne&oldid=1362606813
