action,status,source_url,note
PLOWSHARES EIGHT,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
PLOWSHARES NUMBER TWO,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
TRIDENT NEIN,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
PLOWSHARES NUMBER FOUR,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
AVCO PLOWSHARES,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
GRIFFISS PLOWSHARES,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
PLOWSHARES NUMBER SEVEN,foreign_case_not_us_custody,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,This proceeding is outside US custody scope; separate US cases can qualify independently.
PERSHING PLOWSHARES,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
SPERRY SOFTWARE PAIR,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
TRIDENT II PLOWSHARES,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
SILO PRUNING HOOKS,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
PLOWSHARES NUMBER TWELVE,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
TRIDENT II PRUNING HOOKS,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
MICHIGAN ELF DISARMAMENT ACTION,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
PANTEX DISARMAMENT ACTION,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
WISCONSIN ELF DISARMAMENT ACTION,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
MARTIN MARIETTA MX WITNESS,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
SILO PLOWSHARES,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
PERSHING TO PLOWSHARES,foreign_case_not_us_custody,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,This proceeding is outside US custody scope; separate US cases can qualify independently.
EPIPHANY PLOWSHARES,roster_screened_candidate_existing_matches,https://ickevald.net/plowshares/plowshares-chronology-1980-2018,Named participants screened; candidate existing matches. See person-review CSV. No claim that existing case coverage is complete.
