name,candidate_existing_matches,status,source_url
Daniel Berrigan,Daniel Berrigan,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Philip Berrigan,Philip Berrigan,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Dean Hammer,Dean Hammer,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Elmer Maas,Elmer Maas,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Carl Kabat,Rev. Carl Kabat,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Anne Montgomery,Anne Montgomery,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Molly Rush,Molly Rush,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
John Schuchardt,John Schuchardt,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Peter DeMott,Peter DeMott,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Judy Beaumont,Judith Beaumont,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
James Cunningham,James Cunningham,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
George Veasey,George Veasey,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Tim Quinn,Tim Quinn,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Anne Bennis,Anne Bennis,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Bill Hartman,Bill Hartman,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Vincent Kay,Vincent Kay,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Art Laffin,Art Laffin,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
John Grady,John Grady,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Ellen Grady,Ellen Grady,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Jean Holladay,Jean Holladay,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Roger Ludwig,Roger Ludwig,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Marcia Timmel,Marcia Timmel,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Agnes Bauerlein,Agnes Bauerlein,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Macy Morse,Macy Morse,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Mary Lyons,Mary Lyons,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Frank Panopoulos,Frank Panopoulos,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
John Pendleton,John Pendleton,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Jackie Allen,Jackie Allen-Doucet; Jackie Allen,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Clare Grady,Clare Grady,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Elizabeth McAlister,Elizabeth McAlister,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Vern Rossman,Vernon Joseph Rossman,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Karl Smith,Karl Smith,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
Per Herngren,Per Herngren,candidate_existing_match,https://ickevald.net/plowshares/plowshares-chronology-1980-2018
